[832580]: 2004ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 AddRecognizer
[832580]: 2004ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bde0990; name='UnsupportedV2ServiceProperties'; value=''
[832580]: 2004ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x3bde04d0
[832580]: 2004ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0x3bde04d0, p=0x0x3bde04d0, tot=1
[832580]: 2004ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[832580]: 2004ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x3bde0990
[832580]: 2004ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x3bde0990, p=0x0x3bde0990, tot=3
[832580]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection
[832580]: 2005ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxConnection' as '604236279'
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x766020001e50
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0x766020001e50, p=0x0x766020001e50, tot=1
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bde0990; name='SPEECH-RecoMode'; value=''
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000003bddfb20; name='SPEECH-RecoMode'; value='CONVERSATION'
[832580]: 2005ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 StartRecognitionAsync
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x76602c000c30
[832580]: 2005ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0x76602c000c30, p=0x0x76602c000c30, tot=1
[525545]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[525545]: 2005ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [844848ll]
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1177 StartRecognizing
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1178 [0x3bddfa90]CSpxAudioStreamSession::StartRecognizing
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0x3bddfa90]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1220 [0x3bddfa90]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3164 StartAudioPump
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3165 [0x3bddfa90]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0x3bb46048]
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1447 [0x3bddfa90]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1458 [0x3bddfa90]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 92a0373e572c4d1c86efcc4b0d8e0e1a
[844848]: 2005ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [826782ll]
[826782]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1725 DispatchEvent task started...
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bddfb20; name='SPEECH-MaxBufferSizeMs'; value='66000'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bddfb20; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[826782]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxSessionEventArgs' as '418547108'
[826782]: 2005ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1725 DispatchEvent task complete!
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bddfb20; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:103 [0x7660300028b0] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[844848]: 2005ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 NewTurn
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000003bddfb20; name='IsKeywordAndSpeechRecognizer'; value='false'
[844848]: 2005ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2786 EnsureInitRecoEngineAdapter
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2790 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[844848]: 2005ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2896 EnsureResetEngineEngineAdapterComplete
[844848]: 2005ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2815 InitRecoEngineAdapter
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry_OffsetFixupWrapper' as '806006714'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000003bddfb20; name='INTENT-region'; value=''
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3251 [0x3bddfa90]CSpxAudioStreamSession::StartAudioPump: Starting pump[0x3bb46048]...
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBufferData' as '705421989'
[844848]: 2005ms SPX_TRACE_VERBOSE:  buffer_data.cpp:118 [0x766030003780]CSpxBufferData::EnsureInitRingBuffer - Init
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxBlockingReadWriteRingBuffer' as '956428994'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bddfb20; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bddfb20; name='AudioConfig_SampleRateForCapture'; value='16000'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000003bddfb20; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxAudioProcessorWriteToAudioSourceBuffer' as '354155511'
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:111 [0x3bcf6b50]CSpxAudioPump::StartPump():
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [0x3bcf6b50]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[7704]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[7704]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [0x3bcf6b50]CSpxAudioPump::PumpThread(): getting format from reader... 
[7704]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[7704]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [0x3bcf6b50]CSpxAudioPump::PumpThread(): allocating our first buffer
[7704]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:277 [0x3bcf6b50]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[7704]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:252 [0x3bcf6b50]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[7704]: 2005ms SPX_DBG_TRACE_VERBOSE:  push_audio_input_stream.cpp:98 CSpxPushAudioInputStream::Read: bytesToRead=3200
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:540 [0x3bcf6b50]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3164 StartAudioPump
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1177 StartRecognizing
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:467 [0x3bddfa90]CSpxAudioStreamSession::SetFormat: format != nullptr
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0x3bddfa90]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 4/1 => 4/2
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:472 [0x3bddfa90]CSpxAudioStreamSession::SetFormat: Now ProcessingAudio ...
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3396 InformAdapterSetFormatStarting
[525545]: 2005ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD stopped ***
[844848]: 2005ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspRecoEngineAdapterRetry' as '806006714'
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter_retry.cpp:19 InitDelegatePtr
[844848]: 2005ms SPX_DBG_TRACE_SCOPE_ENTER:  usp_reco_engine_adapter.cpp:49 CSpxUspRecoEngineAdapter
