[543259]: 11774ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 AddRecognizer
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9f24e0; name='UnsupportedV2ServiceProperties'; value=''
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e9f2020
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0x2e9f2020, p=0x0x2e9f2020, tot=1
[543259]: 11774ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e9f24e0
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x2e9f24e0, p=0x0x2e9f24e0, tot=3
[543259]: 11774ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection
[543259]: 11774ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxConnection' as '604236279'
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e742ee0
[543259]: 11774ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0x2e742ee0, p=0x0x2e742ee0, tot=1
[543259]: 11775ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9f24e0; name='SPEECH-RecoMode'; value=''
[543259]: 11775ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e922400; name='SPEECH-RecoMode'; value='CONVERSATION'
[543259]: 11775ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 StartRecognitionAsync
[543259]: 11775ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x736f0c000b80
[543259]: 11775ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0x736f0c000b80, p=0x0x736f0c000b80, tot=1
[326252]: 11775ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[326252]: 11775ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [410294ll]
[410294]: 11775ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1177 StartRecognizing
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1178 [0x2e922370]CSpxAudioStreamSession::StartRecognizing
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0x2e922370]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[410294]: 11775ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1220 [0x2e922370]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
