[543259]: 41ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:722 AddRecognizer
[543259]: 41ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e7fb0; name='UnsupportedV2ServiceProperties'; value=''
[543259]: 41ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e9e7af0
[543259]: 41ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxRecognizer, h=0x0x2e9e7af0, p=0x0x2e9e7af0, tot=1
[543259]: 41ms SPX_DBG_TRACE_SCOPE_EXIT:  speechapi_c_factory.cpp:160 recognizer_create_speech_recognizer_from_config
[543259]: 41ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e9e7fb0
[543259]: 41ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxNamedProperties, h=0x0x2e9e7fb0, p=0x0x2e9e7fb0, tot=3
[543259]: 42ms SPX_DBG_TRACE_SCOPE_ENTER:  connection.cpp:21 CSpxConnection
[543259]: 42ms SPX_DBG_TRACE_SCOPE_EXIT:  connection.cpp:21 CSpxConnection
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxConnection' as '604236279'
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e742ee0
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnection, h=0x0x2e742ee0, p=0x0x2e742ee0, tot=1
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e7fb0; name='SPEECH-RecoMode'; value=''
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e9e70c0; name='SPEECH-RecoMode'; value='CONVERSATION'
[543259]: 42ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1117 StartRecognitionAsync
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x2e9ea0b0
[543259]: 42ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=CSpxAsyncOp<void>, h=0x0x2e9ea0b0, p=0x0x2e9ea0b0, tot=1
[247571]: 42ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1120 *** CSpxAudioStreamSession::StartRecognitionAsync kicked-off THREAD started ***
[247571]: 42ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread Background with ID [326252ll]
[326252]: 42ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1177 StartRecognizing
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1178 [0x2e9e7030]CSpxAudioStreamSession::StartRecognizing
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3583 [0x2e9e7030]CSpxAudioStreamSession::TryChangeState: recoKind/sessionState: 0/0 => 4/1
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1220 [0x2e9e7030]CSpxAudioStreamSession::StartRecognizing:  Now WaitForPumpSetFormatStart ...
[326252]: 42ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:3164 StartAudioPump
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:3165 [0x2e9e7030]CSpxAudioStreamSession::StartAudioPump:  RecognitionKind 4 | m_audioPump [0x2e7206c8]
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1447 [0x2e9e7030]CSpxAudioStreamSession::FireSessionStartedEvent: ...
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1458 [0x2e9e7030]CSpxAudioStreamSession::FireSessionStartedEvent: Firing SessionStarted event: SessionId: 3cd4aaba950a4b91817af24672cdf4ec
[326252]: 42ms SPX_TRACE_INFO:  thread_service.cpp:96 Started thread User with ID [410294ll]
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e70c0; name='SPEECH-MaxBufferSizeMs'; value='66000'
[410294]: 42ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1725 DispatchEvent task started...
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e70c0; name='SPEECH-BufferSizePercentSwitchToLowRate'; value='50'
[410294]: 42ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxSessionEventArgs' as '418547108'
[326252]: 42ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0000002e9e70c0; name='SPEECH-BufferSizePercentSwitchToHighRate'; value='9'
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session_throttle_logic.cpp:103 [0x736f0c001d00] Is VAD Gating = 0, Is RNNT reco engine = 0, Is conversation transcriber = 0, Is meeting transcriber = 0, Is async transcriber  = 0, fastLane = 5000 msec (160000 bytes), maxDuration = 66000 msec, highDuration = 33000 msec, lowDuration = 5940 msec, lowRate = 100%, highRate = 200%
[410294]: 42ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1725 DispatchEvent task complete!
[326252]: 43ms SPX_DBG_TRACE_FUNCTION:  audio_buffer.cpp:92 NewTurn
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000002e9e70c0; name='IsKeywordAndSpeechRecognizer'; value='false'
[326252]: 43ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2786 EnsureInitRecoEngineAdapter
[326252]: 43ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:2790 CSpxAudioStreamSession::EnsureInitRecoEngineAdapter EnsureResetEngineEngineAdapterComplete
[326252]: 43ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2896 EnsureResetEngineEngineAdapterComplete
[326252]: 43ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:2815 InitRecoEngineAdapter
